2023-05-02 15:16:51,324 | WARN  | Transport Connection to: tcp://18.192.220.39:35050 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:35050 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:16:51,324 | WARN  | Transport Connection to: tcp://18.192.220.39:34292 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34292 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:16:51,324 | WARN  | Transport Connection to: tcp://18.192.220.39:33804 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:33804 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:16:51,323 | WARN  | Transport Connection to: tcp://18.192.220.39:34864 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34864 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:16:51,323 | WARN  | Transport Connection to: tcp://18.192.220.39:34598 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34598 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:16:51,323 | WARN  | Transport Connection to: tcp://18.192.220.39:34860 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34860 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:16:51,323 | WARN  | Transport Connection to: tcp://18.192.220.39:33850 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:33850 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:16:51,322 | WARN  | Transport Connection to: tcp://18.192.220.39:34974 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34974 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:16:51,322 | WARN  | Transport Connection to: tcp://18.192.220.39:34276 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:34276 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:16:51,321 | WARN  | Transport Connection to: tcp://18.192.220.39:33508 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:33508 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2023-05-02 15:16:51,321 | WARN  | Transport Connection to: tcp://18.192.220.39:35012 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://18.192.220.39:35012 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
